[2022-08-30 18:08:02.9090] | Info | 正在加载公告提示信息... 
[2022-08-30 18:08:02.9135] | Info | 加载公告提示信息成功... 
[2022-08-30 18:08:02.9465] | Info | 管理员列表加载成功... 
[2022-08-30 18:08:02.9692] | Info | 行会列表加载成功... 
[2022-08-30 18:08:02.9701] | Info | 城堡列表加载成功... 
[2022-08-30 18:08:02.9762] | Info | 城堡城初始完成... 
[2022-08-30 18:08:02.9790] | Info | 当前服务器运行主节点模式... 
[2022-08-30 18:08:03.0078] | Info | 登录服务器连接初始化完成... 
[2022-08-30 18:08:03.0098] | Info | 地图环境加载成功... 
[2022-08-30 18:08:03.0288] | Info | 矿物数据初始成功... 
[2022-08-30 18:08:03.0323] | Info | 交易NPC列表加载成功... 
[2022-08-30 18:08:03.0362] | Info | 守卫列表加载成功... 
[2022-08-30 18:08:03.0374] | Info | 管理NPC列表加载成功... 
[2022-08-30 18:08:03.0374] | Info | 炼制物品信息加载成功... 
[2022-08-30 18:08:03.0390] | Info | 回城点配置加载成功... 
[2022-08-30 18:08:03.0390] | Info | 正在初始安全区光圈... 
[2022-08-30 18:08:03.0390] | Info | 安全区光圈初始化成功... 
[2022-08-30 18:08:03.0395] | Info | 人物数据引擎启动成功... 
[2022-08-30 18:08:03.1500] | Info | 游戏处理引擎初始化成功... 
[2022-08-30 18:08:03.1500] | Info | 引擎版本: 1.00 Build 20161001 
[2022-08-30 18:08:03.1500] | Info | 更新日期: 2016/10/01 
[2022-08-30 18:12:59.5090] | Info | 正在读取配置信息... 
[2022-08-30 18:12:59.7663] | Info | 读取配置信息完成... 
[2022-08-30 18:12:59.7698] | Info | 正在加载物品数据库... 
[2022-08-30 18:13:00.0224] | Info | 物品数据库加载成功(1000)... 
[2022-08-30 18:13:00.0224] | Info | 正在加载数据图文件... 
[2022-08-30 18:13:00.0451] | Info | 小地图数据加载成功... 
[2022-08-30 18:13:00.0451] | Info | 正在加载地图数据... 
[2022-08-30 18:13:04.4740] | Info | 地图数据加载成功(322)... 
[2022-08-30 18:13:04.4740] | Info | 正在加载怪物数据库... 
[2022-08-30 18:13:04.6074] | Info | 加载怪物数据库成功(705)... 
[2022-08-30 18:13:04.6074] | Info | 正在加载技能数据库... 
[2022-08-30 18:13:04.6120] | Info | 加载技能数据库成功(206)... 
[2022-08-30 18:13:04.6120] | Info | 正在加载怪物刷新配置信息... 
[2022-08-30 18:13:04.6476] | Info | 加载怪物刷新配置信息成功(2828)... 
[2022-08-30 18:13:04.6476] | Info | 正加载怪物说话配置信息... 
[2022-08-30 18:13:04.6486] | Info | 加载怪物说话配置信息成功(0)... 
[2022-08-30 18:13:04.6537] | Info | 正在加载捆装物品信息... 
[2022-08-30 18:13:04.6545] | Info | 加载捆装物品信息成功... 
[2022-08-30 18:13:04.6545] | Info | 加载物品寄售系统... 
[2022-08-30 18:13:04.6578] | Info | 正在加载任务地图信息... 
[2022-08-30 18:13:04.6600] | Info | 加载任务地图信息成功... 
[2022-08-30 18:13:04.6600] | Info | 正在加载任务说明信息... 
[2022-08-30 18:13:04.6609] | Info | 加载任务说明信息成功... 
[2022-08-30 18:13:04.6609] | Info | 正在加载公告提示信息... 
[2022-08-30 18:13:04.6618] | Info | 加载公告提示信息成功... 
[2022-08-30 18:13:04.6688] | Info | 管理员列表加载成功... 
[2022-08-30 18:13:04.6703] | Info | 行会列表加载成功... 
[2022-08-30 18:13:04.6714] | Info | 城堡列表加载成功... 
[2022-08-30 18:13:04.6804] | Info | 城堡城初始完成... 
[2022-08-30 18:13:04.6832] | Info | 当前服务器运行主节点模式... 
[2022-08-30 18:13:04.6846] | Info | 登录服务器连接初始化完成... 
[2022-08-30 18:13:04.6859] | Info | 地图环境加载成功... 
[2022-08-30 18:13:04.7062] | Info | 矿物数据初始成功... 
[2022-08-30 18:13:04.7080] | Info | 交易NPC列表加载成功... 
[2022-08-30 18:13:04.7149] | Info | 守卫列表加载成功... 
[2022-08-30 18:13:04.7161] | Info | 管理NPC列表加载成功... 
[2022-08-30 18:13:04.7169] | Info | 炼制物品信息加载成功... 
[2022-08-30 18:13:04.7176] | Info | 回城点配置加载成功... 
[2022-08-30 18:13:04.7176] | Info | 正在初始安全区光圈... 
[2022-08-30 18:13:04.7176] | Info | 安全区光圈初始化成功... 
[2022-08-30 18:13:04.7176] | Info | 人物数据引擎启动成功... 
