[2022-08-17 11:10:01.7137] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:01.7137] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:06.8100] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:06.8100] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:11.8402] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:11.8545] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:16.8844] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:16.8847] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:21.9167] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:22.0179] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:26.9439] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:26.9439] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:31.9907] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:31.9907] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:37.0471] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:37.0471] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:10:42.1046] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:10:42.1046] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:11:17.3943] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:11:17.3958] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:11:28.6168] | Info | 角色网关[0](10.10.0.102:50839)已关闭... 
[2022-08-17 11:12:40.6291] | Debug | DBSvr is starting. 
[2022-08-17 11:12:40.7069] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:12:40.8963] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:12:40.8973] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:12:40.9369] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:12:45.6162] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:12:49.1734] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:13:07.5004] | Info | 角色网关[0](10.10.0.102:50921)已打开... 
[2022-08-17 11:13:35.6205] | Debug | DBSvr is starting. 
[2022-08-17 11:13:35.7020] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:13:35.9021] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:13:35.9408] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:13:37.6837] | Info | 角色网关[0](10.10.0.102:50933)已打开... 
[2022-08-17 11:13:39.4066] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:13:40.7874] | Info | 角色网关[0](10.10.0.102:50927)已打开... 
[2022-08-17 11:14:22.1505] | Info | 角色网关[0](10.10.0.102:50933)已关闭... 
[2022-08-17 11:16:45.3072] | Debug | DBSvr is starting. 
[2022-08-17 11:16:45.3864] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:16:45.5759] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:16:45.5769] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:16:45.6201] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:16:47.7388] | Info | 角色网关[0](10.10.0.102:51008)已打开... 
[2022-08-17 11:16:50.5337] | Info | 角色网关[0](10.10.0.102:51002)已打开... 
[2022-08-17 11:17:11.1647] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:17:15.6390] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:18:05.9172] | Info | 角色网关[0](10.10.0.102:51008)已关闭... 
[2022-08-17 11:18:05.9172] | Info | 角色网关[0](10.10.0.102:51002)已关闭... 
[2022-08-17 11:19:05.6934] | Info | 角色网关[0](10.10.0.102:51046)已打开... 
[2022-08-17 11:19:29.8395] | Info | 角色网关[0](10.10.0.102:51046)已关闭... 
[2022-08-17 11:21:18.5463] | Info | 角色网关[0](10.10.0.102:51060)已打开... 
[2022-08-17 11:22:03.7014] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:22:08.0204] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:23:09.3205] | Info | 角色网关[0](10.10.0.102:51060)已关闭... 
[2022-08-17 11:25:26.6541] | Debug | DBSvr is starting. 
[2022-08-17 11:25:26.7359] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:25:26.9342] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:25:26.9354] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:25:26.9833] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:25:32.9872] | Info | 角色网关[0](10.10.0.102:51129)已打开... 
[2022-08-17 11:25:46.7569] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 11:25:50.0756] | Info | 角色网关[0](10.10.0.102:51129)已关闭... 
[2022-08-17 11:26:02.6256] | Info | 角色网关[0](10.10.0.102:51144)已打开... 
[2022-08-17 11:26:17.8313] | Debug | DBSvr is starting. 
[2022-08-17 11:26:17.9164] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:26:18.1202] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:26:18.1601] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:26:20.0245] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:26:23.0706] | Info | 角色网关[0](10.10.0.102:51161)已打开... 
[2022-08-17 11:38:13.6583] | Debug | DBSvr is starting. 
[2022-08-17 11:38:13.7526] | Info | 数据库配置文件读取完成... 
[2022-08-17 11:38:13.9935] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 11:38:14.0331] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 11:38:20.6996] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 11:38:21.9800] | Info | 角色网关[0](10.10.0.102:51288)已打开... 
[2022-08-17 11:40:06.4456] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
